SupplierID,NumberOfCustomers,AverageShareofBusiness,AverageSizeofSuppliers,AverageSizeofCustomers,CAGRBusiness,TechnologyInvestment,CountryGDP,CountryGDPGrowth,IndexOfPoliticalTurmoil,IndexOfSocialTurmoil,NumberofProducts,NumberofNewProducts,ProfitabilityLast5Years,Bankruptcy
1000,9,52.3,887.79,1093.72,25,28.32,895.6492837,-0.5,0.536430972,0.435370958,3,2,11.81,0
1001,2,44.77,785.2,787.75,4.11,21.21,360.2742541,-3.91,0.144800625,0.737288748,5,0,15.95,0
1002,14,16.56,673.94,653,-10.93,27.03,154.0658918,4.12,0.974545859,0.545541917,20,7,9.8,1
1003,4,43.08,30.61,315.53,-9.43,31.61,298.6744328,-1.05,0.622148458,0.277293491,11,1,2.51,1
1004,4,41.68,262.27,1891.42,4.26,29.92,735.4281689,-1.32,0.362871771,0.343025925,2,2,6.96,0
1005,19,10.57,380.48,1524.57,-0.68,5.82,93.37106813,2.62,0.319102428,0.792094052,12,9,2.66,0
1006,1,36.47,886.08,1142.16,2.33,31.59,165.7343469,-2.1,0.297508165,0.509647684,5,4,28.07,0
1007,7,16.87,888.99,1897.72,-14.13,4.68,952.0257895,-2.01,0.731970957,0.87497408,15,2,2.62,1
1008,14,35.01,821.52,786.71,-11.16,28.28,915.0074717,-4.74,0.4857652,0.708549358,16,16,7.83,0
1009,18,77.14,683.1,1225.65,-5.73,48.33,765.311845,1.13,0.225087357,0.67868783,20,17,5.39,0
1010,1,25.6,251.83,1639.51,-1.39,11.76,68.07064871,-3.73,0.3451318,0.742832543,12,12,9.51,0
1011,10,72.26,446.07,1387.24,5.64,46.66,757.7191472,-1.21,0.65629877,0.411094939,9,4,0.41,0
1012,10,54.85,658.12,1531.8,-6.25,7.49,737.0518785,-4.04,0.446748347,0.479660563,14,8,26.41,0
1013,3,54.78,938.46,633.77,-10,14.16,281.3937371,-4.35,0.583561543,0.259871541,9,5,1.52,0
1014,2,30.91,562.77,1781.52,5.49,49.45,968.7178875,6.4,0.618626313,0.836264873,19,7,21.49,0
1015,6,79.9,869.97,1037.77,-10.53,10.06,47.55458015,1.54,0.283938455,0.238738474,20,20,11.75,0
1016,14,41.75,25.99,1997.03,2.65,44.44,500.7449024,-2.16,0.205955055,0.215752444,8,0,24.04,0
1017,19,40.4,499.82,1872.85,13.33,11.69,421.2344479,-5.06,0.000482172,0.153695778,19,4,7.38,0
